United States,Japan
12552.943,9671.861
13948.701,10586.534
14404.994,9782.353
15513.679,10655.246
17086.441,11210.518
18199.32,11813.035
19034.766,17457.069
20000.968,21148.365
21375.999,25506.113
22814.077,25274.314
23847.977,25809.663
24302.776,29436.88
25392.931,32007.708
26364.192,36362.508
27674.021,39953.203
28671.48,44210.234
29946.973,39164.322
31440.087,35651.27
32833.666,32436.929
34496.241,36622.892
36312.782,39172.971
37101.453,34410.68
37945.761,32832.296
39405.354,35410.229
41641.617,38307.103
44034.256,37819.107
46216.853,36021.9
47943.353,35847.232
48470.553,39992.06
47102.428,41469.773
48586.288,45135.796
50008.108,48760.915
51736.738,49175.035
53363.904,40934.756
55263.817,38522.771
57006.926,35005.662
58179.697,39411.424
60292.978,38903.298
63165.278,39850.331
65561.32,40547.967
64461.618,40160.067
71257.958,40161.178
77979.858,34158.343
82715.1,33898.99
86601.28,32859.112
89677.894,35611.138
92785.854,37388.165
96070.128,38884.275
99467.876,40809.475
102986.97,42086.45
