Emission / Removal / Bunker,(All),,,,,,,,,,,
State,(All),,,,,,,,,,,
Gas,CO2e (t) GWP-AR2,,,,,,,,,,,
,,,,,,,,,,,,
Row Labels,Sum of 2005,Sum of 2006,Sum of 2007,Sum of 2008,Sum of 2009,Sum of 2010,Sum of 2011,Sum of 2012,Sum of 2013,Sum of 2014,Sum of 2015,
"Agriculture, Forestry and Other Land Use",254849990.163043,261860246.878146,267424695.33844,267297301.728805,264355135.794016,266277598.843325,270056965.932691,291735641.230462,292002986.380671,240837080.461201,243121675.601816,
Energy,1044162401.69003,1117741478.3024,1223545267.48992,1305463920.45443,1407594276.92785,1481907922.56051,1563261262.15965,1681048700.69746,1740727515.61386,1841876563.47191,1862114184.0538,
Industrial Product and Process Use,101499730.546175,106892159.214728,112356471.557243,119109778.31504,128807520.824028,140871557.044175,154572455.770364,155646768.339375,158711715.461278,172849861.588232,175374781.571347,
Waste,64258608.1989478,66291238.4297601,68572204.4138455,70674897.947161,72745589.3411191,74985742.5910052,86191927.352891,89245607.0397617,91965129.9408815,94795955.156617,96918310.0424771,
Grand Total,1464770730.5982,1552785122.82503,1671898638.79945,1762545898.44543,1873502522.88701,1964042821.03901,2074082611.21559,2217676717.30705,2283407347.39669,2350359460.67796,2377528951.26944,
