State,total_values
Uttar Pradesh,214669444.13000003
Maharashtra,205373748.41
Gujarat,178119294.43
Andhra Pradesh,169006357.67
Chhattisgarh,145030916.68
Tamil Nadu,131853517.82999998
Odisha,127706206.16
Madhya Pradesh,121220134.85
West Bengal,120770232.93
Rajasthan,107044544.04
Karnataka,102775883.36000001
Jharkhand,76424445.44
Bihar,59370677.269999996
Haryana,57149575.150000006
Punjab,56341205.28
Assam,24795418.66
Delhi,23389469.689999998
Telangana,20218931.98
Kerala,19214721.98
Uttarakhand,10830594.34
Himachal Pradesh,8152498.799999998
Jammu & Kashmir,3798048.71
odisha,2785191.01
Goa,2494008.5300000007
Puducherry,1793511.5299999998
Chandigarh,932776.3699999999
Tripura,906169.49
Meghalaya,898005.1999999997
Dadra & Nagar Haveli,688761.69
Nagaland,680895.36
Daman & Diu,657761.85
Lakshadweep,117305.83
Manipur,-106941.57999999996
Mizoram,-492602.3399999999
Sikkim,-3627451.8
Andaman & Nicobar Islands,-6575512.480000001
Arunachal Pradesh,-20364925.509999998
