,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Transport,116862139.39,129788565.13000001,141942640.10000002,154048829.16,169404886.47,186706290.63000003,201914437.25,215701536.59,229453435.11999997,236116866.47999996,251132440.43
Residential,95877228.41,97996878.94,100516917.82000001,103725998.61000001,103449634.4,103892890.12,104241298.82,102703298.94,103088810.48999998,106764345.65000002,110230401.16000001
Commercial,4139905.4400000004,4942735.1,6059916.89,6839308.0,7749515.539999999,8328516.739999999,8890344.28,9573490.34,9794950.9,9504503.93,10511138.53
Agriculture,15936586.2,17012768.9,21107842.900000002,21724851.450000003,23351552.35,24480895.87,26243078.009999998,28183916.050000004,29422859.48,28988898.810000002,29909284.25
Fisheries,3310420.11,3508817.8099999996,3716150.3,3921259.2800000003,4135539.2199999997,4535872.34,4706145.34,4893682.59,5138519.81,5436102.09,5693023.77
Industries,239005900.13,270625842.74,314417089.86,339582399.05,382739218.56000006,403747016.3000001,417282942.53,463169745.18,468787354.17,493971771.03000003,459896458.33000004
Fuel Production,35465736.23,35136237.91,35745253.76,36663087.6,43011686.480000004,46491747.120000005,44743643.129999995,42470669.36,39954899.24,37903706.239999995,36369158.16
Public Electricity Generation,533564485.68999994,558729631.6200001,600039456.0,638958187.36,673752244.14,703724693.37,755239372.55,814352361.59,855086686.1999999,923190369.49,958372279.36
Total,1044162401.5999999,1117741478.15,1223545267.63,1305463920.51,1407594277.1600003,1481907922.49,1563261261.9099998,1681048700.6399999,1740727515.4099998,1841876563.72,1862114183.99
