State,energy_values
Maharashtra,151527215.03
Uttar Pradesh,141773293.11
Andhra Pradesh,140192498.48
Chhattisgarh,126743156.98
Gujarat,126448915.04
Odisha,110243664.49000001
West Bengal,104399531.52
Tamil Nadu,98378717.18
Madhya Pradesh,81522656.6
Karnataka,78615823.22
Jharkhand,64565206.66
Rajasthan,58839151.67
Haryana,42902947.13
Punjab,39059795.33
Bihar,30969355.839999996
Delhi,21700634.9
Kerala,16472847.53
Assam,13224909.16
Himachal Pradesh,5637493.62
Uttarakhand,5285764.45
Jammu & Kashmir,3691064.11
Goa,3340710.9000000004
Telangana,3281608.94
odisha,2785191.01
Meghalaya,2369891.84
Tripura,2349358.19
Puducherry,1513865.71
Chandigarh,736262.0399999999
Dadra & Nagar Haveli,515053.59
Andaman & Nicobar Islands,509153.68
Arunachal Pradesh,484175.96
Manipur,414711.04
Nagaland,394237.88
Daman & Diu,380434.75
Sikkim,285265.46
Mizoram,278930.91000000003
Lakshadweep,74428.54000000001
