State,ippu_values
Gujarat,24075010.11
Rajasthan,18707120.66
Andhra Pradesh,16092727.98
Uttar Pradesh,11344574.87
Maharashtra,10531792.23
Madhya Pradesh,9399424.93
Tamil Nadu,9380576.790000001
Karnataka,7671170.87
Chhattisgarh,7034976.97
West Bengal,6217124.54
Odisha,5088429.51
Jharkhand,4497754.66
Himachal Pradesh,2845303.2600000002
Punjab,2179951.45
Haryana,1729514.7200000002
Kerala,1553629.6300000001
Uttarakhand,955950.0800000001
Meghalaya,667401.7699999999
Bihar,303899.33
Daman & Diu,261913.13
Assam,108601.26000000001
Jammu & Kashmir,76814.33
Goa,57248.79
Puducherry,47683.89
Dadra & Nagar Haveli,37925.96
Delhi,3596.9300000000003
Arunachal Pradesh,1371.09
Tripura,30.9
Sikkim,25.01
Chandigarh,11.14
Nagaland,0.26
Manipur,0.0
Telangana,0.0
