State,waste_values
Uttar Pradesh,11445370.65
Maharashtra,8282340.5600000005
Andhra Pradesh,6175832.22
Tamil Nadu,6080110.35
Gujarat,5688635.8
West Bengal,5136433.92
Karnataka,3637298.95
Bihar,3358945.48
Madhya Pradesh,3325130.88
Rajasthan,3300017.37
Punjab,2974143.79
Kerala,2891302.76
Odisha,2156799.31
Uttarakhand,1750871.85
Delhi,1477489.56
Haryana,1470388.14
Assam,1436634.69
Jharkhand,1101449.83
Chhattisgarh,1052385.72
Jammu & Kashmir,653313.52
Himachal Pradesh,386640.77999999997
Chandigarh,177623.1
Tripura,173613.46
Meghalaya,133136.61000000002
Goa,126742.73999999999
Puducherry,110818.54000000001
Nagaland,108314.40999999999
Manipur,106693.42
Arunachal Pradesh,65806.67
Mizoram,60411.04
Lakshadweep,37103.06
Sikkim,35349.75
Andaman & Nicobar Islands,29422.370000000003
Daman & Diu,19858.14
Dadra & Nagar Haveli,19313.079999999998
Telangana,0.0
